student.id,student.gender_desc,student.age,student_permAddress.zone_type,student_originSchool.gpa,student_originSchool.isITESM,student.isForeign,student.isFirstGeneration,student_admission_test.score,student_admission_test_disc.dominance_score,student_admission_test_disc.influence_score,student_admission_test_disc.steadiness_score,student_admission_test_disc.conscientiousness_score,student_admission_test_valuesIndex.aesthetic_score,student_admission_test_valuesIndex.economic_score,student_admission_test_valuesIndex.individualistic_score,student_admission_test_valuesIndex.political_score,student_admission_test_valuesIndex.altruistic_score,student_admission_test_valuesIndex.regulatory_score,student_admission_test_valuesIndex.theoretical_score,student_admission_socialProject.type,student_admission_socialProject.scope,student_admission_cv.sports_level,student_admission_cv.cultural_level,student_admission_cv.student_level,student_admission_cv.community_level,student_admission_cv.leadership_level,student_admission_cv.work_level,student_admission_cv.academic_level,student_admission_cv.international_level,student.cohort_id,student.isTec21,term.desc,term.type_desc,mainCampus.region_code,program.school_desc,program.major_id,student.fte,student.term_gpa,student.term_gpa_program,student.status_academic_desc,student.isGraduated,graduation_year
1006,Male,0,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2014AD,Semester,RCS,EIC,ISD,1.08,95.9,95.9,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2015JM,Semester,RCS,EIC,ISD,1.0,96.3,96.1,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2015JJ,Summer,RCS,EIC,ISD,0.25,90.0,95.3,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2015AD,Semester,RCS,EIC,ISD,1.08,95.4,95.3,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2016JM,Semester,RCS,EIC,ISD,1.08,98.0,96.0,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2016JJ,Summer,RCS,EIC,ISD,0.33,94.5,95.9,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2016AD,Semester,RCS,EIC,ISD,1.08,96.7,96.0,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2017JM,Semester,RCS,EIC,ISD,1.08,97.9,96.3,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2017JJ,Summer,RCS,EIC,ISD,0.33,98.0,96.4,7,0,2018AD
1006,Male,1,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2017AD,Semester,RCS,EIC,ISD,1.17,98.5,96.6,7,0,2018AD
1006,Male,2,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2018JM,Semester,RCS,EIC,ISD,0.83,97.3,96.7,7,0,2018AD
1006,Male,2,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2018JJ,Summer,RCS,EIC,ISD,0.33,97.0,96.7,7,0,2018AD
1006,Male,2,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2018AD,Semester,RCS,EIC,ISD,0.71,99.6,96.9,7,1,2018AD
1012,Male,1,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2016AD,Semester,RO,EIC,BMI,1.08,87.9,87.9,7,0,2021FJ
1012,Male,1,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2017JM,Semester,RO,EIC,BMI,1.0,88.8,88.3,7,0,2021FJ
1012,Male,1,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2017JJ,Summer,RO,EIC,BMI,0.17,83.0,87.9,7,0,2021FJ
1012,Male,1,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2017AD,Semester,RO,EIC,BMI,1.08,85.3,87.0,7,0,2021FJ
1012,Male,1,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2018JM,Semester,RO,EIC,BMI,1.0,88.5,87.4,7,0,2021FJ
1012,Male,1,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2018AD,Semester,RO,EIC,BMI,1.0,85.3,87.0,7,0,2021FJ
1012,Male,1,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2019JM,Semester,RO,EIC,BMI,0.92,93.8,88.1,7,0,2021FJ
1012,Male,2,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2019AD,Semester,RO,EIC,BMI,1.0,89.0,88.1,7,0,2021FJ
1012,Male,2,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2020FJ,Semester,RO,EIC,BMI,1.0,89.8,88.3,7,0,2021FJ
1012,Male,2,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2020AD,Semester,RO,EIC,BMI,1.08,97.6,89.5,7,0,2021FJ
1012,Male,2,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2021JF,Winter,RO,EIC,BMI,0.33,98.0,89.5,7,0,2021FJ
1012,Male,2,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2016,0,2021FJ,Semester,RO,EIC,BMI,0.71,99.2,90.6,7,1,2021FJ
1019,Male,0,0,95.0,1,0,-1,1467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2014AD,Semester,RN,EIC,IMT,1.08,93.6,93.6,7,0,2019JM
1019,Male,1,0,95.95,1,0,-1,1467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2015JM,Semester,RN,EIC,IMT,1.08,90.6,92.1,7,0,2019JM
1019,Male,1,0,95.0,1,0,-1,1467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2015AD,Semester,RN,EIC,IMT,1.0,87.7,90.8,7,0,2019JM
1019,Male,1,0,95.0,1,1,-1,1467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2016JM,Semester,RM,EIC,IMT,1.0,84.8,89.4,7,0,2019JM
1019,Male,1,0,95.0,1,1,-1,1467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2014,0,2016JJ,Summer,RM,EIC,IMT,0.25,82.0,89.1,7,0,2019JM
